"","CASE_STATUS","PW_SKILL_LEVEL","WAGE_OFFER_UNIT_OF_PAY","MINIMUM_EDUCATION","REQUIRED_EXPERIENCE","ACCEPT_ALT_OCCUPATION","FOREIGN_LANGUAGE_REQUIRED","PROFESSIONAL_OCCUPATION","COUNTRY_OF_CITIZENSHIP","CLASS_OF_ADMISSION","FOREIGN_WORKER_EDUCATION","FOREIGN_WORKER_YRS_SINCE_ED","FOREIGN_WORKER_ED_INST_US","FOREIGN_WORKER_REQ_EXPERIENCE","FOREIGN_WORKER_EXP_WITH_EMPL","FOREIGN_WORKER_CURR_EMPLOYED","EMPLOYER_COMPLETED_APPLICATION","WAITING_PERIOD","PW_WAGE_HOURLY"
"30",1,2,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",4,"1","Y","0",1,0,184,45.3399038461538
"31",1,1,"Year","Bachelor's",1,1,0,1,"RUSSIA","H-1B","Master's",6,"1","N","0",1,0,227,31.5399038461538
"32",1,2,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",5,"1","N","0",1,0,151,44.1701923076923
"33",1,2,"Year","Bachelor's",1,1,0,1,"ISRAEL","L-1","Bachelor's",6,"0","N","0",1,0,192,56.6201923076923
"34",1,2,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",18,"0","Y","0",1,0,277,37.3798076923077
"35",1,0,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",14,"0","N","0",1,0,175,89.9197115384615
"36",1,0,"Year","Master's",0,1,0,1,"INDIA","H-1B","Master's",7,"1","N/A","0",1,0,163,64.3822115384615
"37",1,1,"Year","Bachelor's",1,1,0,1,"SOUTH KOREA","H-1B","Bachelor's",7,"1","Y","0",1,0,176,19.0798076923077
"38",1,2,"Year","Master's",1,1,0,1,"CHINA","H-1B","Master's",5,"1","N","0",1,0,206,27.0798076923077
"39",1,3,"Year","Master's",1,1,0,1,"NEPAL","F-1","Master's",3,"1","N","0",1,0,356,57.0100961538462
"40",1,2,"Year","Master's",0,1,0,1,"INDIA","H-1B","Master's",2,"1","N/A","0",1,0,174,37.0798076923077
"41",1,4,"Year","Master's",0,1,0,1,"INDIA","H-1B","Bachelor's",8,"0","N/A","0",1,0,152,58.3600961538462
"42",1,2,"Year","Master's",0,0,0,1,"INDIA","H-1B","Master's",4,"1","N/A","0",1,0,144,48.3298076923077
"43",1,2,"Year","Master's",1,1,0,1,"CHINA","H-1B","Master's",5,"1","N","0",1,0,191,54.3798076923077
"44",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",15,"0","Y","0",1,0,226,59.2399038461538
"45",1,1,"Year","Doctorate",0,1,0,0,"PAKISTAN","H-1B","Doctorate",10,"0","N/A","0",1,0,173,44.1346153846154
"46",1,4,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",10,"1","N","0",1,0,337,81.2298076923077
"47",1,2,"Year","Bachelor's",1,0,0,1,"VENEZUELA","E-2","Bachelor's",18,"0","Y","0",1,1,532,33.1201923076923
"48",1,2,"Year","Bachelor's",0,1,0,1,"INDIA","H-1B","Master's",7,"1","N/A","0",1,0,259,45.7
"49",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",26,"0","N","0",1,0,176,56.6298076923077
"50",1,1,"Year","Bachelor's",1,1,0,1,"CHINA","H-1B","Master's",2,"1","N","0",1,0,176,44.2798076923077
"51",1,4,"Year","Bachelor's",1,0,0,1,"INDIA","H-1B","Bachelor's",20,"0","Y","0",1,0,188,68.15
"52",1,1,"Year","Bachelor's",1,1,0,1,"BRAZIL","L-1","Bachelor's",8,"0","N","0",1,0,204,31.9399038461538
"53",1,2,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",6,"1","N","0",1,0,217,52.3
"54",1,3,"Year","Master's",1,1,0,1,"INDIA","H-1B","Bachelor's",11,"0","N","0",1,0,221,59.15
"55",1,1,"Year","Doctorate",1,1,0,1,"INDIA","H-1B","Doctorate",7,"1","N","0",1,0,225,28.4798076923077
"56",1,4,"Year","Bachelor's",1,1,0,1,"EL SALVADOR","L-1","Bachelor's",17,"1","N","0",1,0,202,62.3298076923077
"57",1,2,"Year","Bachelor's",0,0,0,1,"PHILIPPINES","Not in USA","Bachelor's",11,"0","N/A","UNK",0,0,133,22.1798076923077
"58",1,2,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",12,"1","N","0",1,0,229,33.4701923076923
"59",1,1,"Year","Bachelor's",1,1,0,1,"CANADA","TN","Bachelor's",2,"0","N","0",1,0,170,44.8
"60",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",12,"0","N","0",1,0,172,55.2701923076923
"61",1,2,"Year","Master's",1,1,0,1,"INDIA","H-1B","Bachelor's",18,"0","N","0",1,0,193,48.7399038461538
"62",1,2,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",17,"0","Y","0",1,0,200,35.9899038461538
"63",1,4,"Year","Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",17,"0","N/A","0",1,0,175,57.5298076923077
"64",1,3,"Year","Master's",1,1,0,1,"CHINA","F-1","Doctorate",1,"1","N","0",1,0,207,63.3298076923077
"65",1,1,"Year","Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",11,"0","Y","0",1,0,186,33.8798076923077
"66",1,2,"Year","Master's",1,1,0,1,"INDIA","H-1B","Bachelor's",16,"0","N","0",1,0,131,54.3798076923077
"67",1,1,"Year","Other",0,0,0,0,"BRAZIL","H-1B","Doctorate",2,"1","N/A","0",1,0,197,18.6009615384615
"68",1,2,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",6,"1","N","0",1,0,175,48.8201923076923
"69",1,0,"Year","Master's",0,1,0,1,"INDIA","H-1B","Master's",17,"0","N/A","0",1,0,161,100
"70",1,4,"Year","Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",17,"0","N/A","0",1,1,154,51.4600961538462
"71",1,2,"Year","Master's",1,0,0,1,"CHINA","H-1B","Master's",7,"1","Y","UNK",1,0,224,41.1701923076923
"72",1,2,"Year","Master's",0,1,0,1,"INDIA","H-1B","Master's",15,"0","N/A","UNK",1,0,217,43.5798076923077
"73",1,4,"Year","Master's",0,1,0,1,"INDIA","H-1B","Master's",16,"0","N/A","0",1,0,219,82.4798076923077
"74",1,2,"Year","Master's",0,1,0,1,"INDIA","H-1B","Master's",6,"1","N/A","0",1,0,180,56.3899038461538
"75",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",13,"0","N","0",1,0,203,61.5
"76",1,3,"Year","Bachelor's",1,1,0,1,"MEXICO","H-1B","Master's",7,"1","N","0",1,0,228,21.7100961538462
"77",1,0,"Year","Other",0,0,0,1,"INDIA","H-1B","Other",9,"0","N/A","UNK",1,0,205,100
"78",1,2,"Year","Master's",1,1,0,1,"INDIA","H-1B","Bachelor's",12,"0","N","UNK",1,0,185,45.3399038461538
"79",1,4,"Year","Bachelor's",1,0,0,1,"ETHIOPIA","H-1B","Master's",2,"1","N","0",1,1,208,58.3600961538462
"80",1,2,"Year","Master's",1,1,0,1,"CHINA","O-1","Doctorate",7,"0","N","0",1,0,216,52.3
"81",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",14,"1","Y","0",1,0,225,60.5201923076923
"82",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",16,"0","N","0",1,0,165,65.2201923076923
"83",1,1,"Year","Bachelor's",0,0,0,1,"INDIA","H-1B","Master's",5,"1","N/A","UNK",1,0,223,27.7201923076923
"84",1,2,"Year","Master's",1,1,0,1,"CHINA","H-1B","Master's",4,"1","N","0",1,0,161,54.3798076923077
"85",1,2,"Year","None",1,0,0,0,"JORDAN","Not in USA","Bachelor's",17,"0","Y","0",0,0,219,25.6399038461538
"86",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",15,"0","N","0",1,0,168,58.0798076923077
"87",1,4,"Year","High School",1,1,0,0,"SOUTH KOREA","E-2","High School",43,"0","N","0",1,0,318,30.4600961538462
"88",1,2,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",18,"0","Y","0",1,0,191,48.3298076923077
"89",1,1,"Year","Bachelor's",1,1,0,1,"KENYA","H-1B","Bachelor's",7,"1","N","0",1,0,215,36.6298076923077
"90",1,1,"Year","Bachelor's",1,0,0,1,"HONG KONG","H-1B","Bachelor's",3,"0","Y","0",1,0,161,46.45
"91",1,3,"Year","Bachelor's",1,1,0,1,"AUSTRALIA","L-1","Bachelor's",12,"0","N","0",1,0,217,67.1701923076923
"92",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",21,"0","Y","0",1,0,216,50.1100961538462
"93",1,4,"Year","Doctorate",1,1,0,1,"SOUTH KOREA","H-1B","Doctorate",8,"0","N","0",1,0,216,54.9600961538462
"94",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",19,"0","Y","0",1,0,187,45.9201923076923
"95",1,3,"Year","Master's",1,1,0,1,"CANADA","H-1B","Master's",9,"0","N","0",1,0,238,44.4701923076923
"96",1,1,"Year","Bachelor's",1,1,0,1,"CHINA","H-1B","Master's",4,"1","N","0",1,0,126,44.2798076923077
"97",1,1,"Year","Bachelor's",0,0,0,1,"MALAYSIA","H-1B","Bachelor's",3,"1","N/A","0",1,0,201,17.8
"98",1,4,"Year","Master's",0,1,0,1,"INDIA","H-1B","Master's",9,"1","N/A","0",1,0,174,49.2600961538462
"99",1,2,"Year","High School",1,1,1,0,"POLAND","F-1","High School",7,"0","Y","0",0,0,331,15.7798076923077
"100",1,0,"Year","Bachelor's",0,1,0,1,"MEXICO","H-1B","Master's",7,"1","N/A","0",1,0,176,66.2947115384615
"101",1,2,"Year","Master's",1,1,0,1,"INDIA","H-4","Master's",11,"0","Y","0",1,0,235,34.2399038461538
"102",1,3,"Year","Doctorate",0,0,0,1,"CHINA","F-1","Doctorate",2,"1","N/A","UNK",1,0,170,68.1100961538462
"103",1,3,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",5,"1","N","0",1,0,184,39.9701923076923
"104",1,1,"Year","Bachelor's",1,1,0,1,"SOUTH KOREA","H-1B","Bachelor's",5,"1","N","0",1,0,156,34.7899038461538
"105",1,1,"Year","Bachelor's",0,0,0,1,"INDIA","H-1B","Bachelor's",29,"0","N/A","UNK",1,0,343,25.9519230769231
"106",1,1,"Year","Doctorate",0,0,0,0,"UNITED KINGDOM","H-1B","Doctorate",2,"1","N/A","UNK",1,0,172,31.0817307692308
"107",1,2,"Year","None",1,0,0,1,"GERMANY","E-2","Other",19,"0","Y","0",0,0,323,35.1399038461538
"108",1,2,"Year","Bachelor's",1,1,0,1,"ETHIOPIA","F-1","Bachelor's",9,"0","Y","0",1,0,199,46.4399038461538
"109",1,1,"Year","Bachelor's",1,1,0,1,"FRANCE","L-1","Bachelor's",10,"0","N","0",1,0,174,23.8399038461538
"110",1,2,"Year","Master's",1,1,0,1,"CHINA","H-1B","Master's",7,"1","Y","0",1,0,186,38.8399038461538
"111",1,2,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",12,"UNK","N","0",1,0,160,68.8100961538462
"112",1,1,"Year","Bachelor's",0,0,0,1,"INDIA","H-1B","Bachelor's",11,"0","N/A","0",1,0,224,34.3201923076923
"113",1,3,"Year","Master's",0,1,0,1,"INDIA","H-1B","Master's",6,"0","N/A","0",1,0,129,48.6100961538462
"114",1,3,"Year","Master's",0,1,0,1,"INDIA","H-1B","Master's",9,"1","N/A","0",1,0,173,57.8798076923077
"115",1,3,"Year","Associate's",1,0,0,1,"INDIA","H-1B","Bachelor's",21,"0","Y","0",1,0,224,44.7100961538462
"116",1,3,"Year","Master's",1,1,0,1,"INDIA","F-1","Master's",6,"1","Y","0",1,0,166,88.35
"117",1,2,"Year","Master's",1,1,0,1,"CHINA","H-1B","Master's",3,"1","N","0",1,0,190,57.9701923076923
"118",1,3,"Year","Master's",0,1,0,1,"INDIA","L-1","Bachelor's",18,"0","N/A","0",1,0,196,46.3798076923077
"119",1,4,"Year","Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",18,"0","N/A","0",1,0,198,54.6298076923077
"120",1,2,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",7,"1","N","0",1,0,209,53.6701923076923
"121",1,2,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",7,"1","N","0",1,0,143,34.6298076923077
"122",1,4,"Year","Bachelor's",1,1,0,1,"CANADA","L-1","Bachelor's",27,"0","Y","1",1,0,172,56.3899038461538
"123",1,1,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",7,"0","N","0",1,0,216,32.3798076923077
"124",1,4,"Year","High School",0,1,0,1,"BELGIUM","Not in USA","Other",28,"0","N/A","0",0,0,349,36.2600961538462
"125",1,3,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",7,"1","N","0",1,0,168,45.8100961538462
"126",1,4,"Year","Bachelor's",0,1,0,1,"INDIA","H-1B","Master's",19,"0","N/A","0",1,0,221,54.8100961538462
"127",1,1,"Year","Doctorate",0,0,0,0,"CHINA","H-1B","Doctorate",2,"1","N/A","0",1,1,190,27.2451923076923
"128",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",16,"0","N","0",1,0,176,47.0201923076923
"129",1,0,"Year","Bachelor's",0,0,1,1,"CHINA","H-1B","Master's",4,"1","N/A","UNK",1,0,232,28.5052884615385
"130",1,2,"Year","Master's",1,1,0,1,"CHINA","H-1B","Master's",7,"1","N","0",1,0,186,48.8399038461538
"131",1,1,"Year","Master's",1,1,0,1,"CHINA","H-1B","Master's",7,"1","Y","0",1,0,230,28.9298076923077
"132",1,0,"Year","Bachelor's",0,1,0,1,"INDIA","L-1","Bachelor's",18,"0","N/A","0",1,0,185,55.8908653846154
"133",1,2,"Year","Master's",1,1,0,1,"UNITED STATES OF AMERICA","H-1B","Master's",7,"1","N","0",1,0,184,37.1701923076923
"134",1,1,"Year","Bachelor's",0,0,0,1,"INDIA","H-1B","Master's",6,"1","N/A","0",1,0,339,29.1
"135",1,1,"Year","Doctorate",0,0,0,0,"AUSTRALIA","H-1B","Doctorate",3,"0","N/A","UNK",1,0,227,8.10576923076923
"136",1,2,"Year","Master's",0,1,0,1,"INDIA","H-1B","Master's",4,"1","N/A","0",1,0,205,35.4701923076923
"137",1,2,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",9,"0","Y","0",1,0,229,44.9798076923077
"138",1,4,"Year","Bachelor's",1,1,0,1,"CANADA","TN","Master's",11,"0","Y","0",1,0,362,92.5298076923077
"139",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",16,"0","Y","0",1,0,177,62.3701923076923
"140",1,1,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",3,"1","N","0",1,0,186,44.8
"141",1,4,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",10,"1","N","0",1,0,219,58.3798076923077
"142",1,2,"Year","Bachelor's",0,0,0,1,"PHILIPPINES","Not in USA","Bachelor's",7,"0","N/A","UNK",0,0,146,22.1798076923077
"143",1,3,"Year","Master's",1,1,0,1,"ITALY","H-1B","Master's",9,"1","N","0",1,0,265,91.1600961538462
"144",1,1,"Year","Bachelor's",1,1,0,1,"JAMAICA","H-1B","Bachelor's",12,"1","N","0",1,0,225,17.4711538461538
"145",1,3,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",11,"1","N","0",1,0,147,58.25
"146",1,1,"Year","Master's",1,1,0,1,"CHINA","H-1B","Master's",7,"1","N","0",1,0,209,33.5201923076923
"147",1,3,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",9,"1","N","0",1,0,211,56.2600961538462
"148",1,1,"Year","Doctorate",0,0,0,0,"ITALY","UNK","Doctorate",8,"0","N/A","UNK",1,1,174,25.7884615384615
"149",1,2,"Year","Master's",1,1,0,1,"TAIWAN","H-1B","Master's",5,"1","Y","0",1,0,185,50.8
"150",1,2,"Year","Master's",1,1,0,1,"INDIA","F-1","Master's",2,"1","N","0",1,0,172,57.9701923076923
"151",1,2,"Year","Master's",0,1,0,1,"CHINA","H-1B","Master's",4,"1","N/A","0",1,0,196,52.3
"152",1,2,"Year","Master's",0,1,0,1,"SOUTH KOREA","H-1B","Doctorate",4,"1","N/A","0",1,0,140,49.8600961538462
"153",1,3,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",14,"1","N","0",1,0,321,53.5600961538462
"154",1,2,"Year","Master's",0,0,0,1,"HUNGARY","L-1","Master's",6,"0","N/A","0",1,0,182,34.5899038461538
"155",1,3,"Year","Master's",0,0,0,1,"RUSSIA","L-1","Master's",14,"0","N/A","0",1,0,133,50.8899038461538
"156",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",11,"0","N","0",1,0,159,69.2
"157",1,4,"Year","Bachelor's",1,1,0,1,"CANADA","L-1","Bachelor's",6,"0","N","0",1,0,155,65.7
"158",1,2,"Year","Master's",1,1,0,1,"NEPAL","F-1","Master's",4,"1","Y","0",1,0,239,45.3399038461538
"159",1,0,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",15,"1","N","0",1,0,165,62.4081730769231
"160",1,0,"Year","Bachelor's",1,1,0,1,"MEXICO","TN","Bachelor's",8,"0","N","0",1,0,184,51.6841346153846
"161",1,1,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",6,"1","Y","0",1,0,178,29.5201923076923
"162",1,4,"Year","Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",12,"UNK","N/A","0",1,0,183,48.0899038461538
"163",1,3,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",10,"0","N","0",1,0,141,55.7399038461538
"164",1,3,"Year","Master's",0,0,0,1,"INDIA","H-1B","Master's",10,"0","N/A","0",0,0,167,55.8399038461538
"165",1,2,"Year","Master's",0,0,0,1,"INDIA","H-1B","Master's",5,"1","N/A","0",1,0,337,52.3
"166",1,4,"Year","Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",17,"0","N/A","0",1,0,184,69.2
"167",1,3,"Year","Master's",0,0,0,1,"INDIA","H-1B","Master's",3,"1","N/A","UNK",1,0,146,50.3
"168",1,2,"Year","Bachelor's",1,1,0,1,"INDIA","L-1","Bachelor's",18,"0","Y","0",1,0,184,50.5100961538462
"169",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",9,"0","N","0",1,0,155,65.3201923076923
"170",1,1,"Year","Doctorate",0,0,0,0,"INDIA","H-1B","Doctorate",2,"1","N/A","UNK",1,0,203,21.0769230769231
"171",1,4,"Year","Master's",0,1,0,1,"ISRAEL","H-1B","Master's",7,"1","N/A","0",1,0,155,77.5701923076923
"172",1,2,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",6,"1","Y","0",1,0,223,39.3798076923077
"173",1,4,"Year","Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",14,"0","N/A","0",1,0,211,74.3600961538462
"174",1,4,"Year","Bachelor's",1,0,0,1,"INDIA","H-1B","Master's",14,"1","Y","0",1,0,169,62.5600961538462
"175",1,1,"Year","Master's",0,1,0,1,"INDIA","H-1B","Master's",13,"0","N/A","0",1,0,153,30.7298076923077
"176",1,1,"Year","Bachelor's",0,0,0,1,"SOUTH KOREA","F-1","Bachelor's",3,"1","N/A","UNK",0,0,209,29.65
"177",1,2,"Year","Master's",1,1,0,1,"TURKEY","L-1","Master's",12,"0","N","0",1,0,170,57.2701923076923
"178",1,1,"Year","Bachelor's",0,1,0,1,"INDIA","H-1B","Master's",4,"1","N/A","0",1,0,209,32.7899038461538
"179",1,1,"Year","Bachelor's",1,1,0,1,"CHINA","H-1B","Master's",2,"1","N","0",1,0,139,45.8798076923077
"180",1,2,"Year","Master's",1,1,0,1,"INDIA","H-4","Master's",11,"0","N","0",1,0,231,44.4399038461538
"181",1,3,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",6,"1","Y","0",1,0,174,58.7600961538462
"182",1,2,"Year","Master's",1,1,0,1,"INDIA","UNK","Master's",5,"1","Y","0",1,0,200,26.9
"183",1,3,"Year","Other",0,1,0,1,"MEXICO","H-1B","Other",5,"0","N/A","0",1,0,187,45.2600961538462
"184",1,2,"Year","Master's",0,0,0,1,"INDIA","H-1B","Master's",4,"1","N/A","0",1,0,167,46.8298076923077
"185",1,4,"Year","Bachelor's",0,1,0,1,"INDIA","H-1B","Master's",17,"0","N/A","0",1,0,166,66.5100961538461
"186",1,1,"Year","High School",1,1,0,0,"VENEZUELA","B-2","High School",12,"0","Y","0",0,1,314,18.2
"187",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",16,"0","N","0",1,0,172,50.3399038461538
"188",1,2,"Year","Master's",1,1,0,1,"INDIA","UNK","Bachelor's",15,"0","N/A","0",1,0,188,43.2798076923077
"189",1,2,"Year","Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",21,"0","N/A","0",0,1,168,35.0899038461538
"190",1,3,"Year","Master's",0,1,0,1,"INDIA","H-1B","Bachelor's",13,"0","N/A","0",1,0,180,54.65
"191",1,1,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",5,"1","N","0",1,0,223,26.3701923076923
"192",1,4,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",12,"1","Y","0",1,0,180,82.15
"193",1,2,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",5,"1","N","0",1,0,163,39.0201923076923
"194",1,2,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",7,"1","Y","0",1,0,219,46.4399038461538
"195",1,2,"Year","Master's",0,1,0,1,"CHINA","F-1","Master's",2,"1","N/A","0",1,0,223,56.6201923076923
"196",1,3,"Year","Bachelor's",0,1,0,1,"BRAZIL","L-1","Bachelor's",15,"0","N/A","0",1,0,223,46.3798076923077
"197",1,2,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",3,"1","N","0",1,0,177,56.6201923076923
"198",1,4,"Year","Bachelor's",1,0,1,1,"EGYPT","B-2","Bachelor's",22,"0","Y","0",0,0,335,91.9798076923077
"199",1,2,"Year","Bachelor's",1,1,0,1,"INDIA","L-1","Bachelor's",11,"0","N","0",1,0,141,37.4399038461538
"200",1,1,"Year","Bachelor's",0,1,0,1,"CHINA","H-1B","Master's",4,"1","N/A","0",1,0,151,27.6798076923077
"201",1,2,"Year","Bachelor's",0,1,0,1,"INDIA","H-1B","Master's",26,"0","N/A","0",0,0,180,47.1298076923077
"202",1,1,"Year","Bachelor's",1,1,0,1,"SOUTH KOREA","H-1B","Master's",2,"1","Y","0",1,0,166,37.0899038461538
"203",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",12,"UNK","N","0",1,0,231,66.0701923076923
"204",1,2,"Year","Bachelor's",1,1,0,1,"CHINA","F-1","Master's",3,"1","N","0",1,0,236,48.8201923076923
